disasterNumber,declarationTitle,state,declarationType,incidentType,incidentBeginDate
1603,HURRICANE KATRINA,LA,DR,Hurricane,2005-08-29T00:00:00Z
1604,HURRICANE KATRINA,MS,DR,Hurricane,2005-08-29T00:00:00Z
1605,HURRICANE KATRINA,AL,DR,Hurricane,2005-08-29T00:00:00Z
1606,HURRICANE RITA,TX,DR,Hurricane,2005-09-23T00:00:00Z
1607,HURRICANE RITA,LA,DR,Hurricane,2005-09-23T00:00:00Z
1609,HURRICANE WILMA,FL,DR,Hurricane,2005-10-23T00:00:00Z
1763,"SEVERE STORMS, TORNADOES, AND FLOODING",IA,DR,Severe Storm,2008-05-25T00:00:00Z
1786,HURRICANE GUSTAV,LA,DR,Hurricane,2008-09-01T00:00:00Z
1791,HURRICANE IKE,TX,DR,Hurricane,2008-09-07T00:00:00Z
1792,HURRICANE IKE,LA,DR,Hurricane,2008-09-11T00:00:00Z
1800,SEVERE STORMS AND FLOODING,IL,DR,Severe Storm,2008-09-13T00:00:00Z
1895,SEVERE STORMS AND  FLOODING,MA,DR,Severe Storm,2010-03-12T00:00:00Z
1909,"SEVERE STORMS, FLOODING, STRAIGHT-LINE WINDS, AND TORNADOES",TN,DR,Severe Storm,2010-04-30T00:00:00Z
1933,"SEVERE STORMS, TORNADOES, AND FLOODING",WI,DR,Severe Storm,2010-07-20T00:00:00Z
1935,SEVERE STORMS AND FLOODING,IL,DR,Severe Storm,2010-07-19T00:00:00Z
1971,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",AL,DR,Severe Storm,2011-04-15T00:00:00Z
1981,FLOODING,ND,DR,Flood,2011-02-14T00:00:00Z
4020,HURRICANE IRENE,NY,DR,Hurricane,2011-08-26T00:00:00Z
4021,HURRICANE IRENE,NJ,DR,Hurricane,2011-08-27T00:00:00Z
4030,TROPICAL STORM LEE,PA,DR,Flood,2011-09-03T00:00:00Z
4080,HURRICANE ISAAC,LA,DR,Hurricane,2012-08-26T00:00:00Z
4085,HURRICANE SANDY,NY,DR,Hurricane,2012-10-27T00:00:00Z
4086,HURRICANE SANDY,NJ,DR,Hurricane,2012-10-26T00:00:00Z
4116,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",IL,DR,Flood,2013-04-16T00:00:00Z
4145,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",CO,DR,Flood,2013-09-11T00:00:00Z
4195,SEVERE STORMS AND FLOODING,MI,DR,Flood,2014-08-11T00:00:00Z
4241,SEVERE STORMS AND FLOODING,SC,DR,Flood,2015-10-01T00:00:00Z
4263,SEVERE STORMS AND FLOODING,LA,DR,Flood,2016-03-08T00:00:00Z
4269,SEVERE STORMS AND FLOODING,TX,DR,Flood,2016-04-17T00:00:00Z
4277,SEVERE STORMS AND FLOODING,LA,DR,Flood,2016-08-11T00:00:00Z
4285,HURRICANE MATTHEW,NC,DR,Hurricane,2016-10-04T00:00:00Z
4332,HURRICANE HARVEY,TX,DR,Hurricane,2017-08-23T00:00:00Z
4337,HURRICANE IRMA,FL,DR,Hurricane,2017-09-04T00:00:00Z
4339,HURRICANE MARIA,PR,DR,Hurricane,2017-09-17T00:00:00Z
4393,HURRICANE FLORENCE,NC,DR,Hurricane,2018-09-07T00:00:00Z
4399,HURRICANE MICHAEL,FL,DR,Hurricane,2018-10-07T00:00:00Z
4407,WILDFIRES,CA,DR,Fire,2018-11-08T00:00:00Z
4466,TROPICAL STORM IMELDA,TX,DR,Flood,2019-09-17T00:00:00Z
4473,EARTHQUAKES,PR,DR,Earthquake,2019-12-28T00:00:00Z
4559,HURRICANE LAURA,LA,DR,Hurricane,2020-08-22T00:00:00Z
4563,HURRICANE SALLY,AL,DR,Hurricane,2020-09-14T00:00:00Z
4586,SEVERE WINTER STORMS,TX,DR,Severe Ice Storm,2021-02-11T00:00:00Z
4607,"SEVERE STORMS, FLOODING, AND TORNADOES",MI,DR,Severe Storm,2021-06-25T00:00:00Z
4611,HURRICANE IDA,LA,DR,Hurricane,2021-08-26T00:00:00Z
4614,REMNANTS OF HURRICANE IDA,NJ,DR,Hurricane,2021-09-01T00:00:00Z
4615,REMNANTS OF HURRICANE IDA,NY,DR,Hurricane,2021-09-01T00:00:00Z
4618,REMNANTS OF HURRICANE IDA,PA,DR,Hurricane,2021-08-31T00:00:00Z
4663,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",KY,DR,Flood,2022-07-26T00:00:00Z
4671,HURRICANE FIONA,PR,DR,Hurricane,2022-09-17T00:00:00Z
4673,HURRICANE IAN,FL,DR,Hurricane,2022-09-23T00:00:00Z
