week,n,ma2,disaster_which
2021-07-04T00:00:00Z,351,334,NO NATURAL DISASTER
2021-07-11T00:00:00Z,344,347.5,NO NATURAL DISASTER
2021-07-18T00:00:00Z,324,334,NO NATURAL DISASTER
2021-07-25T00:00:00Z,312,318,NO NATURAL DISASTER
2021-08-01T00:00:00Z,323,317.5,NO NATURAL DISASTER
2021-08-08T00:00:00Z,294,308.5,NO NATURAL DISASTER
2021-08-15T00:00:00Z,302,298,NO NATURAL DISASTER
2021-08-22T00:00:00Z,326,314,NO NATURAL DISASTER
2021-08-29T00:00:00Z,179,252.5,HURRICANE IDA
2021-09-05T00:00:00Z,289,234,NO NATURAL DISASTER
2021-09-12T00:00:00Z,293,291,NO NATURAL DISASTER
2021-09-19T00:00:00Z,291,292,NO NATURAL DISASTER
2021-09-26T00:00:00Z,288,289.5,NO NATURAL DISASTER
