week,n,ma2,disaster_which
2020-07-05T00:00:00Z,343,353,NO NATURAL DISASTER
2020-07-12T00:00:00Z,317,330,NO NATURAL DISASTER
2020-07-19T00:00:00Z,307,312,NO NATURAL DISASTER
2020-07-26T00:00:00Z,317,312,NO NATURAL DISASTER
2020-08-02T00:00:00Z,352,334.5,NO NATURAL DISASTER
2020-08-09T00:00:00Z,364,358,NO NATURAL DISASTER
2020-08-16T00:00:00Z,385,374.5,NO NATURAL DISASTER
2020-08-23T00:00:00Z,330,357.5,HURRICANE LAURA
2020-08-30T00:00:00Z,332,331,NO NATURAL DISASTER
2020-09-06T00:00:00Z,335,333.5,NO NATURAL DISASTER
2020-09-13T00:00:00Z,333,334,NO NATURAL DISASTER
2020-09-20T00:00:00Z,325,329,NO NATURAL DISASTER
2020-09-27T00:00:00Z,355,340,NO NATURAL DISASTER
