week,n,ma2,disaster_which
2012-01-01T00:00:00Z,34,NA,NO NATURAL DISASTER
2012-01-08T00:00:00Z,21,27.5,NO NATURAL DISASTER
2012-01-15T00:00:00Z,21,21,NO NATURAL DISASTER
2012-01-22T00:00:00Z,26,23.5,NO NATURAL DISASTER
2012-01-29T00:00:00Z,19,22.5,NO NATURAL DISASTER
2012-02-05T00:00:00Z,21,20,NO NATURAL DISASTER
2012-02-12T00:00:00Z,27,24,NO NATURAL DISASTER
2012-02-19T00:00:00Z,30,28.5,NO NATURAL DISASTER
2012-02-26T00:00:00Z,15,22.5,NO NATURAL DISASTER
2012-03-04T00:00:00Z,25,20,NO NATURAL DISASTER
2012-03-11T00:00:00Z,31,28,NO NATURAL DISASTER
2012-03-18T00:00:00Z,19,25,NO NATURAL DISASTER
2012-03-25T00:00:00Z,29,24,NO NATURAL DISASTER
2012-04-01T00:00:00Z,22,25.5,NO NATURAL DISASTER
2012-04-08T00:00:00Z,24,23,NO NATURAL DISASTER
2012-04-15T00:00:00Z,22,23,NO NATURAL DISASTER
2012-04-22T00:00:00Z,25,23.5,NO NATURAL DISASTER
2012-04-29T00:00:00Z,33,29,NO NATURAL DISASTER
2012-05-06T00:00:00Z,22,27.5,NO NATURAL DISASTER
2012-05-13T00:00:00Z,22,22,NO NATURAL DISASTER
2012-05-20T00:00:00Z,29,25.5,NO NATURAL DISASTER
2012-05-27T00:00:00Z,25,27,NO NATURAL DISASTER
2012-06-03T00:00:00Z,30,27.5,NO NATURAL DISASTER
2012-06-10T00:00:00Z,29,29.5,NO NATURAL DISASTER
2012-06-17T00:00:00Z,31,30,NO NATURAL DISASTER
2012-06-24T00:00:00Z,25,28,NO NATURAL DISASTER
2012-07-01T00:00:00Z,30,27.5,NO NATURAL DISASTER
2012-07-08T00:00:00Z,28,29,NO NATURAL DISASTER
2012-07-15T00:00:00Z,23,25.5,NO NATURAL DISASTER
2012-07-22T00:00:00Z,26,24.5,NO NATURAL DISASTER
2012-07-29T00:00:00Z,21,23.5,NO NATURAL DISASTER
2012-08-05T00:00:00Z,33,27,NO NATURAL DISASTER
2012-08-12T00:00:00Z,35,34,NO NATURAL DISASTER
2012-08-19T00:00:00Z,23,29,NO NATURAL DISASTER
2012-08-26T00:00:00Z,26,24.5,HURRICANE ISAAC
2012-09-02T00:00:00Z,36,31,HURRICANE ISAAC
2012-09-09T00:00:00Z,35,35.5,NO NATURAL DISASTER
2012-09-16T00:00:00Z,25,30,NO NATURAL DISASTER
2012-09-23T00:00:00Z,16,20.5,NO NATURAL DISASTER
2012-09-30T00:00:00Z,27,21.5,NO NATURAL DISASTER
2012-10-07T00:00:00Z,27,27,NO NATURAL DISASTER
2012-10-14T00:00:00Z,16,21.5,NO NATURAL DISASTER
2012-10-21T00:00:00Z,31,23.5,NO NATURAL DISASTER
2012-10-28T00:00:00Z,33,32,NO NATURAL DISASTER
2012-11-04T00:00:00Z,24,28.5,NO NATURAL DISASTER
2012-11-11T00:00:00Z,33,28.5,NO NATURAL DISASTER
2012-11-18T00:00:00Z,18,25.5,NO NATURAL DISASTER
2012-11-25T00:00:00Z,26,22,NO NATURAL DISASTER
2012-12-02T00:00:00Z,19,22.5,NO NATURAL DISASTER
2012-12-09T00:00:00Z,14,16.5,NO NATURAL DISASTER
2012-12-16T00:00:00Z,24,19,NO NATURAL DISASTER
2012-12-23T00:00:00Z,21,22.5,NO NATURAL DISASTER
2012-12-30T00:00:00Z,31,26,NO NATURAL DISASTER
2013-01-06T00:00:00Z,25,28,NO NATURAL DISASTER
2013-01-13T00:00:00Z,34,29.5,NO NATURAL DISASTER
2013-01-20T00:00:00Z,30,32,NO NATURAL DISASTER
2013-01-27T00:00:00Z,26,28,NO NATURAL DISASTER
2013-02-03T00:00:00Z,16,21,NO NATURAL DISASTER
2013-02-10T00:00:00Z,32,24,NO NATURAL DISASTER
2013-02-17T00:00:00Z,22,27,NO NATURAL DISASTER
2013-02-24T00:00:00Z,16,19,NO NATURAL DISASTER
2013-03-03T00:00:00Z,14,15,NO NATURAL DISASTER
2013-03-10T00:00:00Z,27,20.5,NO NATURAL DISASTER
2013-03-17T00:00:00Z,26,26.5,NO NATURAL DISASTER
2013-03-24T00:00:00Z,27,26.5,NO NATURAL DISASTER
2013-03-31T00:00:00Z,24,25.5,NO NATURAL DISASTER
