week,n,ma2,disaster_which
2010-12-26T00:00:00Z,37,NA,NO NATURAL DISASTER
2011-01-02T00:00:00Z,209,123,NO NATURAL DISASTER
2011-01-09T00:00:00Z,150,179.5,NO NATURAL DISASTER
2011-01-16T00:00:00Z,161,155.5,NO NATURAL DISASTER
2011-01-23T00:00:00Z,168,164.5,NO NATURAL DISASTER
2011-01-30T00:00:00Z,174,171,NO NATURAL DISASTER
2011-02-06T00:00:00Z,148,161,NO NATURAL DISASTER
2011-02-13T00:00:00Z,177,162.5,NO NATURAL DISASTER
2011-02-20T00:00:00Z,214,195.5,NO NATURAL DISASTER
2011-02-27T00:00:00Z,192,203,NO NATURAL DISASTER
2011-03-06T00:00:00Z,250,221,NO NATURAL DISASTER
2011-03-13T00:00:00Z,189,219.5,NO NATURAL DISASTER
2011-03-20T00:00:00Z,223,206,NO NATURAL DISASTER
2011-03-27T00:00:00Z,198,210.5,NO NATURAL DISASTER
2011-04-03T00:00:00Z,202,200,NO NATURAL DISASTER
2011-04-10T00:00:00Z,244,223,NO NATURAL DISASTER
2011-04-17T00:00:00Z,234,239,NO NATURAL DISASTER
2011-04-24T00:00:00Z,221,227.5,NO NATURAL DISASTER
2011-05-01T00:00:00Z,225,223,NO NATURAL DISASTER
2011-05-08T00:00:00Z,244,234.5,NO NATURAL DISASTER
2011-05-15T00:00:00Z,214,229,NO NATURAL DISASTER
2011-05-22T00:00:00Z,229,221.5,NO NATURAL DISASTER
2011-05-29T00:00:00Z,246,237.5,NO NATURAL DISASTER
2011-06-05T00:00:00Z,222,234,NO NATURAL DISASTER
2011-06-12T00:00:00Z,204,213,NO NATURAL DISASTER
2011-06-19T00:00:00Z,211,207.5,NO NATURAL DISASTER
2011-06-26T00:00:00Z,217,214,NO NATURAL DISASTER
2011-07-03T00:00:00Z,272,244.5,NO NATURAL DISASTER
2011-07-10T00:00:00Z,202,237,NO NATURAL DISASTER
2011-07-17T00:00:00Z,196,199,NO NATURAL DISASTER
2011-07-24T00:00:00Z,188,192,NO NATURAL DISASTER
2011-07-31T00:00:00Z,230,209,NO NATURAL DISASTER
2011-08-07T00:00:00Z,162,196,NO NATURAL DISASTER
2011-08-14T00:00:00Z,215,188.5,NO NATURAL DISASTER
2011-08-21T00:00:00Z,195,205,NO NATURAL DISASTER
2011-08-28T00:00:00Z,199,197,NO NATURAL DISASTER
2011-09-04T00:00:00Z,195,197,NO NATURAL DISASTER
2011-09-11T00:00:00Z,203,199,NO NATURAL DISASTER
2011-09-18T00:00:00Z,197,200,NO NATURAL DISASTER
2011-09-25T00:00:00Z,190,193.5,NO NATURAL DISASTER
2011-10-02T00:00:00Z,191,190.5,NO NATURAL DISASTER
2011-10-09T00:00:00Z,186,188.5,NO NATURAL DISASTER
2011-10-16T00:00:00Z,187,186.5,NO NATURAL DISASTER
2011-10-23T00:00:00Z,186,186.5,NO NATURAL DISASTER
2011-10-30T00:00:00Z,197,191.5,NO NATURAL DISASTER
2011-11-06T00:00:00Z,186,191.5,NO NATURAL DISASTER
2011-11-13T00:00:00Z,177,181.5,NO NATURAL DISASTER
2011-11-20T00:00:00Z,186,181.5,NO NATURAL DISASTER
2011-11-27T00:00:00Z,168,177,NO NATURAL DISASTER
2011-12-04T00:00:00Z,152,160,NO NATURAL DISASTER
2011-12-11T00:00:00Z,193,172.5,NO NATURAL DISASTER
2011-12-18T00:00:00Z,206,199.5,NO NATURAL DISASTER
2011-12-25T00:00:00Z,174,190,NO NATURAL DISASTER
2012-01-01T00:00:00Z,202,188,NO NATURAL DISASTER
2012-01-08T00:00:00Z,177,189.5,NO NATURAL DISASTER
2012-01-15T00:00:00Z,194,185.5,NO NATURAL DISASTER
2012-01-22T00:00:00Z,195,194.5,NO NATURAL DISASTER
2012-01-29T00:00:00Z,164,179.5,NO NATURAL DISASTER
2012-02-05T00:00:00Z,170,167,NO NATURAL DISASTER
2012-02-12T00:00:00Z,167,168.5,NO NATURAL DISASTER
2012-02-19T00:00:00Z,216,191.5,NO NATURAL DISASTER
2012-02-26T00:00:00Z,164,190,NO NATURAL DISASTER
2012-03-04T00:00:00Z,184,174,NO NATURAL DISASTER
2012-03-11T00:00:00Z,204,194,NO NATURAL DISASTER
