week,n,ma2,disaster_which
2016-07-03T00:00:00Z,339,312,NO NATURAL DISASTER
2016-07-10T00:00:00Z,321,330,NO NATURAL DISASTER
2016-07-17T00:00:00Z,294,307.5,NO NATURAL DISASTER
2016-07-24T00:00:00Z,266,280,NO NATURAL DISASTER
2016-07-31T00:00:00Z,268,267,NO NATURAL DISASTER
2016-08-07T00:00:00Z,287,277.5,NO NATURAL DISASTER
2016-08-14T00:00:00Z,300,293.5,SEVERE STORMS AND FLOODING AUG 2016
2016-08-21T00:00:00Z,325,312.5,NO NATURAL DISASTER
2016-08-28T00:00:00Z,306,315.5,NO NATURAL DISASTER
2016-09-04T00:00:00Z,338,322,NO NATURAL DISASTER
2016-09-11T00:00:00Z,341,339.5,NO NATURAL DISASTER
2016-09-18T00:00:00Z,310,325.5,NO NATURAL DISASTER
2016-09-25T00:00:00Z,289,299.5,NO NATURAL DISASTER
