week,n,ma2,disaster_which
2016-01-03T00:00:00Z,288,268.5,NO NATURAL DISASTER
2016-01-10T00:00:00Z,272,280,NO NATURAL DISASTER
2016-01-17T00:00:00Z,245,258.5,NO NATURAL DISASTER
2016-01-24T00:00:00Z,280,262.5,NO NATURAL DISASTER
2016-01-31T00:00:00Z,299,289.5,NO NATURAL DISASTER
2016-02-07T00:00:00Z,308,303.5,NO NATURAL DISASTER
2016-02-14T00:00:00Z,250,279,NO NATURAL DISASTER
2016-02-21T00:00:00Z,249,249.5,NO NATURAL DISASTER
2016-02-28T00:00:00Z,273,261,NO NATURAL DISASTER
2016-03-06T00:00:00Z,281,277,NO NATURAL DISASTER
2016-03-13T00:00:00Z,286,283.5,SEVERE STORMS AND FLOODING MAR 2016
2016-03-20T00:00:00Z,267,276.5,NO NATURAL DISASTER
2016-03-27T00:00:00Z,321,294,NO NATURAL DISASTER
