week,n,ma2,disaster_which
2021-01-02T00:00:00Z,5,7,NO NATURAL DISASTER
2021-01-03T00:00:00Z,7,6.714285714285714,NO NATURAL DISASTER
2021-01-04T00:00:00Z,2,6.428571428571429,NO NATURAL DISASTER
2021-01-05T00:00:00Z,6,6.428571428571429,NO NATURAL DISASTER
2021-01-06T00:00:00Z,4,6.285714285714286,NO NATURAL DISASTER
2021-01-07T00:00:00Z,4,6,NO NATURAL DISASTER
2021-01-08T00:00:00Z,9,5.285714285714286,NO NATURAL DISASTER
2021-01-09T00:00:00Z,6,5.428571428571429,NO NATURAL DISASTER
2021-01-10T00:00:00Z,10,5.857142857142857,NO NATURAL DISASTER
2021-01-11T00:00:00Z,6,6.428571428571429,NO NATURAL DISASTER
2021-01-12T00:00:00Z,4,6.142857142857143,NO NATURAL DISASTER
2021-01-13T00:00:00Z,7,6.571428571428571,NO NATURAL DISASTER
2021-01-14T00:00:00Z,10,7.428571428571429,NO NATURAL DISASTER
2021-01-15T00:00:00Z,5,6.857142857142857,NO NATURAL DISASTER
2021-01-16T00:00:00Z,7,7,NO NATURAL DISASTER
2021-01-17T00:00:00Z,13,7.428571428571429,NO NATURAL DISASTER
2021-01-18T00:00:00Z,10,8,NO NATURAL DISASTER
2021-01-19T00:00:00Z,3,7.857142857142857,NO NATURAL DISASTER
2021-01-20T00:00:00Z,16,9.142857142857142,NO NATURAL DISASTER
2021-01-21T00:00:00Z,2,8,NO NATURAL DISASTER
2021-01-22T00:00:00Z,4,7.857142857142857,NO NATURAL DISASTER
2021-01-23T00:00:00Z,1,7,NO NATURAL DISASTER
2021-01-24T00:00:00Z,12,6.857142857142857,NO NATURAL DISASTER
2021-01-25T00:00:00Z,8,6.571428571428571,NO NATURAL DISASTER
2021-01-26T00:00:00Z,13,8,NO NATURAL DISASTER
2021-01-27T00:00:00Z,1,5.857142857142857,NO NATURAL DISASTER
2021-01-28T00:00:00Z,6,6.428571428571429,NO NATURAL DISASTER
2021-01-29T00:00:00Z,6,6.714285714285714,NO NATURAL DISASTER
2021-01-30T00:00:00Z,4,7.142857142857143,NO NATURAL DISASTER
2021-01-31T00:00:00Z,15,7.571428571428571,NO NATURAL DISASTER
2021-02-01T00:00:00Z,8,7.571428571428571,NO NATURAL DISASTER
2021-02-02T00:00:00Z,7,6.714285714285714,NO NATURAL DISASTER
2021-02-03T00:00:00Z,6,7.428571428571429,NO NATURAL DISASTER
2021-02-04T00:00:00Z,7,7.571428571428571,NO NATURAL DISASTER
2021-02-05T00:00:00Z,7,7.714285714285714,NO NATURAL DISASTER
2021-02-06T00:00:00Z,6,8,NO NATURAL DISASTER
2021-02-07T00:00:00Z,4,6.428571428571429,NO NATURAL DISASTER
2021-02-08T00:00:00Z,13,7.142857142857143,NO NATURAL DISASTER
