week,n,ma2,disaster_which
2021-01-02T00:00:00Z,45,47.857142857142854,NO NATURAL DISASTER
2021-01-03T00:00:00Z,56,47.714285714285715,NO NATURAL DISASTER
2021-01-04T00:00:00Z,31,46.857142857142854,NO NATURAL DISASTER
2021-01-05T00:00:00Z,33,45.285714285714285,NO NATURAL DISASTER
2021-01-06T00:00:00Z,37,42.57142857142857,NO NATURAL DISASTER
2021-01-07T00:00:00Z,37,42,NO NATURAL DISASTER
2021-01-08T00:00:00Z,32,38.714285714285715,NO NATURAL DISASTER
2021-01-09T00:00:00Z,27,36.142857142857146,NO NATURAL DISASTER
2021-01-10T00:00:00Z,44,34.42857142857143,NO NATURAL DISASTER
2021-01-11T00:00:00Z,36,35.142857142857146,NO NATURAL DISASTER
2021-01-12T00:00:00Z,39,36,NO NATURAL DISASTER
2021-01-13T00:00:00Z,29,34.857142857142854,NO NATURAL DISASTER
2021-01-14T00:00:00Z,43,35.714285714285715,NO NATURAL DISASTER
2021-01-15T00:00:00Z,28,35.142857142857146,NO NATURAL DISASTER
2021-01-16T00:00:00Z,47,38,NO NATURAL DISASTER
2021-01-17T00:00:00Z,48,38.57142857142857,NO NATURAL DISASTER
2021-01-18T00:00:00Z,41,39.285714285714285,NO NATURAL DISASTER
2021-01-19T00:00:00Z,33,38.42857142857143,NO NATURAL DISASTER
2021-01-20T00:00:00Z,41,40.142857142857146,NO NATURAL DISASTER
2021-01-21T00:00:00Z,34,38.857142857142854,NO NATURAL DISASTER
2021-01-22T00:00:00Z,23,38.142857142857146,NO NATURAL DISASTER
2021-01-23T00:00:00Z,41,37.285714285714285,NO NATURAL DISASTER
2021-01-24T00:00:00Z,41,36.285714285714285,NO NATURAL DISASTER
2021-01-25T00:00:00Z,48,37.285714285714285,NO NATURAL DISASTER
2021-01-26T00:00:00Z,50,39.714285714285715,NO NATURAL DISASTER
2021-01-27T00:00:00Z,34,38.714285714285715,NO NATURAL DISASTER
2021-01-28T00:00:00Z,41,39.714285714285715,NO NATURAL DISASTER
2021-01-29T00:00:00Z,33,41.142857142857146,NO NATURAL DISASTER
2021-01-30T00:00:00Z,41,41.142857142857146,NO NATURAL DISASTER
2021-01-31T00:00:00Z,38,40.714285714285715,NO NATURAL DISASTER
2021-02-01T00:00:00Z,48,40.714285714285715,NO NATURAL DISASTER
2021-02-02T00:00:00Z,30,37.857142857142854,NO NATURAL DISASTER
2021-02-03T00:00:00Z,38,38.42857142857143,NO NATURAL DISASTER
2021-02-04T00:00:00Z,27,36.42857142857143,NO NATURAL DISASTER
2021-02-05T00:00:00Z,46,38.285714285714285,NO NATURAL DISASTER
2021-02-06T00:00:00Z,46,39,NO NATURAL DISASTER
2021-02-07T00:00:00Z,38,39,NO NATURAL DISASTER
2021-02-08T00:00:00Z,50,39.285714285714285,NO NATURAL DISASTER
2021-02-09T00:00:00Z,28,39,NO NATURAL DISASTER
