week,n,ma2,disaster_which
2021-07-02T00:00:00Z,40,46.57142857142857,NO NATURAL DISASTER
2021-07-03T00:00:00Z,47,45.285714285714285,NO NATURAL DISASTER
2021-07-04T00:00:00Z,64,46.714285714285715,NO NATURAL DISASTER
2021-07-05T00:00:00Z,60,47.42857142857143,NO NATURAL DISASTER
2021-07-06T00:00:00Z,54,49.42857142857143,NO NATURAL DISASTER
2021-07-07T00:00:00Z,39,50.42857142857143,NO NATURAL DISASTER
2021-07-08T00:00:00Z,45,49.857142857142854,NO NATURAL DISASTER
2021-07-09T00:00:00Z,41,50,NO NATURAL DISASTER
2021-07-10T00:00:00Z,48,50.142857142857146,NO NATURAL DISASTER
2021-07-11T00:00:00Z,55,48.857142857142854,NO NATURAL DISASTER
2021-07-12T00:00:00Z,57,48.42857142857143,NO NATURAL DISASTER
2021-07-13T00:00:00Z,44,47,NO NATURAL DISASTER
2021-07-14T00:00:00Z,55,49.285714285714285,NO NATURAL DISASTER
2021-07-15T00:00:00Z,36,48,NO NATURAL DISASTER
2021-07-16T00:00:00Z,49,49.142857142857146,NO NATURAL DISASTER
2021-07-17T00:00:00Z,48,49.142857142857146,NO NATURAL DISASTER
2021-07-18T00:00:00Z,49,48.285714285714285,NO NATURAL DISASTER
2021-07-19T00:00:00Z,48,47,NO NATURAL DISASTER
2021-07-20T00:00:00Z,42,46.714285714285715,NO NATURAL DISASTER
2021-07-21T00:00:00Z,55,46.714285714285715,NO NATURAL DISASTER
2021-07-22T00:00:00Z,43,47.714285714285715,NO NATURAL DISASTER
2021-07-23T00:00:00Z,45,47.142857142857146,NO NATURAL DISASTER
2021-07-24T00:00:00Z,42,46.285714285714285,NO NATURAL DISASTER
2021-07-25T00:00:00Z,38,44.714285714285715,NO NATURAL DISASTER
2021-07-26T00:00:00Z,49,44.857142857142854,NO NATURAL DISASTER
2021-07-27T00:00:00Z,41,44.714285714285715,NO NATURAL DISASTER
2021-07-28T00:00:00Z,36,42,NO NATURAL DISASTER
2021-07-29T00:00:00Z,40,41.57142857142857,NO NATURAL DISASTER
2021-07-30T00:00:00Z,47,41.857142857142854,NO NATURAL DISASTER
2021-07-31T00:00:00Z,61,44.57142857142857,NO NATURAL DISASTER
2021-08-01T00:00:00Z,59,47.57142857142857,NO NATURAL DISASTER
2021-08-02T00:00:00Z,49,47.57142857142857,NO NATURAL DISASTER
2021-08-03T00:00:00Z,37,47,NO NATURAL DISASTER
2021-08-04T00:00:00Z,43,48,NO NATURAL DISASTER
2021-08-05T00:00:00Z,54,50,NO NATURAL DISASTER
2021-08-06T00:00:00Z,30,47.57142857142857,NO NATURAL DISASTER
2021-08-07T00:00:00Z,51,46.142857142857146,NO NATURAL DISASTER
2021-08-08T00:00:00Z,50,44.857142857142854,NO NATURAL DISASTER
2021-08-09T00:00:00Z,35,42.857142857142854,NO NATURAL DISASTER
2021-08-10T00:00:00Z,35,42.57142857142857,NO NATURAL DISASTER
2021-08-11T00:00:00Z,41,42.285714285714285,NO NATURAL DISASTER
2021-08-12T00:00:00Z,40,40.285714285714285,NO NATURAL DISASTER
2021-08-13T00:00:00Z,44,42.285714285714285,NO NATURAL DISASTER
2021-08-14T00:00:00Z,49,42,NO NATURAL DISASTER
2021-08-15T00:00:00Z,49,41.857142857142854,NO NATURAL DISASTER
2021-08-16T00:00:00Z,46,43.42857142857143,NO NATURAL DISASTER
2021-08-17T00:00:00Z,41,44.285714285714285,NO NATURAL DISASTER
2021-08-18T00:00:00Z,46,45,NO NATURAL DISASTER
2021-08-19T00:00:00Z,38,44.714285714285715,NO NATURAL DISASTER
2021-08-20T00:00:00Z,46,45,NO NATURAL DISASTER
2021-08-21T00:00:00Z,36,43.142857142857146,NO NATURAL DISASTER
2021-08-22T00:00:00Z,44,42.42857142857143,NO NATURAL DISASTER
2021-08-23T00:00:00Z,53,43.42857142857143,NO NATURAL DISASTER
2021-08-24T00:00:00Z,47,44.285714285714285,NO NATURAL DISASTER
2021-08-25T00:00:00Z,53,45.285714285714285,HURRICANE IDA
2021-08-26T00:00:00Z,29,44,HURRICANE IDA
2021-08-27T00:00:00Z,54,45.142857142857146,HURRICANE IDA
2021-08-28T00:00:00Z,46,46.57142857142857,HURRICANE IDA
2021-08-29T00:00:00Z,14,42.285714285714285,HURRICANE IDA
2021-08-30T00:00:00Z,16,37,HURRICANE IDA
2021-08-31T00:00:00Z,22,33.42857142857143,HURRICANE IDA
2021-09-01T00:00:00Z,35,30.857142857142858,HURRICANE IDA
2021-09-02T00:00:00Z,30,31,HURRICANE IDA
2021-09-03T00:00:00Z,37,28.571428571428573,NO NATURAL DISASTER
2021-09-04T00:00:00Z,25,25.571428571428573,NO NATURAL DISASTER
2021-09-05T00:00:00Z,35,28.571428571428573,NO NATURAL DISASTER
2021-09-06T00:00:00Z,35,31.285714285714285,NO NATURAL DISASTER
2021-09-07T00:00:00Z,35,33.142857142857146,NO NATURAL DISASTER
2021-09-08T00:00:00Z,49,35.142857142857146,NO NATURAL DISASTER
2021-09-09T00:00:00Z,34,35.714285714285715,NO NATURAL DISASTER
2021-09-10T00:00:00Z,39,36,NO NATURAL DISASTER
2021-09-11T00:00:00Z,62,41.285714285714285,NO NATURAL DISASTER
2021-09-12T00:00:00Z,49,43.285714285714285,NO NATURAL DISASTER
2021-09-13T00:00:00Z,46,44.857142857142854,NO NATURAL DISASTER
2021-09-14T00:00:00Z,35,44.857142857142854,NO NATURAL DISASTER
2021-09-15T00:00:00Z,38,43.285714285714285,NO NATURAL DISASTER
2021-09-16T00:00:00Z,46,45,NO NATURAL DISASTER
2021-09-17T00:00:00Z,44,45.714285714285715,NO NATURAL DISASTER
2021-09-18T00:00:00Z,35,41.857142857142854,NO NATURAL DISASTER
2021-09-19T00:00:00Z,44,41.142857142857146,NO NATURAL DISASTER
